Format Version,1.24,Take Name,Take 2025-10-06 09.57.28 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.57.29.035 AM,Capture Start Frame,102263,Total Frames in Take,1340,Total Exported Frames,1340,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
31,0.258333,960.706238,-73.421654,5791.294434,-647.774536,898.261292,-5500.974609,-1204.285034,1069.565063,-4898.701172,-645.972656,851.847473,-5521.041504,-2056.173096,1045.629761,-4832.730957,-643.861938,843.977234,-5505.205078,-2077.564941,1032.307861,-4920.327637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,960.786377,-73.362617,5791.498535,-647.497437,898.745972,-5500.646973,-1203.820923,1070.002686,-4898.028809,-645.771729,852.124939,-5520.700684,-2057.128174,1046.246704,-4834.293945,-643.448120,844.252808,-5504.791992,-2077.996826,1032.454590,-4921.869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,960.761169,-73.399452,5791.344238,-647.279724,899.108154,-5500.205566,-1203.426514,1070.176147,-4897.575195,-645.406433,852.570557,-5520.310547,-2058.564941,1046.869995,-4835.959473,-643.144409,844.630310,-5504.401855,-2078.682373,1032.906372,-4924.184082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,960.814087,-73.357536,5791.488281,-646.949951,899.467957,-5499.768555,-1202.703247,1070.027466,-4896.490234,-645.246216,852.923096,-5519.868164,-2059.708984,1047.665283,-4838.587891,-643.225952,845.121704,-5503.987793,-2079.606201,1033.101440,-4926.626953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,960.798340,-73.360207,5791.495117,-646.739746,899.822693,-5499.360352,-1202.424927,1070.175415,-4895.555176,-645.603149,853.544128,-5519.219727,-2061.110596,1048.493896,-4841.323730,-642.984741,845.373962,-5503.535156,-2080.770264,1033.385864,-4929.070801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,960.783325,-73.381516,5791.493164,-646.579590,900.484924,-5498.787109,-1202.735596,1070.358765,-4894.229492,-645.457764,853.963013,-5518.567383,-2062.726562,1049.501953,-4844.668457,-642.924744,845.664795,-5502.970703,-2082.193604,1033.699951,-4932.090820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,960.808960,-73.360657,5791.505371,-646.516785,900.874939,-5498.281250,-1201.957031,1070.311401,-4892.653809,-645.247314,853.775085,-5517.985840,-2064.015137,1050.406738,-4848.186035,-642.891724,846.009277,-5502.244141,-2084.067139,1034.366577,-4936.224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,960.814331,-73.364143,5791.504395,-646.466614,901.203064,-5497.437012,-1201.502808,1070.452515,-4891.273926,-641.880920,856.518066,-5521.051758,-2065.232422,1051.459106,-4852.104980,-643.168213,846.870667,-5501.685547,-2085.830322,1034.683716,-4940.153320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,960.821228,-73.346947,5791.486328,-646.438843,901.658447,-5496.847168,-1201.490723,1070.573975,-4889.325684,-643.342712,854.877014,-5518.522949,-2066.110107,1052.171875,-4856.593262,-642.961975,847.283813,-5500.944336,-2087.022949,1034.770874,-4944.301270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,960.788696,-73.370598,5791.510742,-646.503723,902.091003,-5496.162598,-1201.240356,1070.688599,-4887.719727,-643.804199,854.871216,-5517.062500,-2067.257080,1052.772949,-4861.487305,-642.876343,847.661621,-5500.185059,-2089.054443,1035.404419,-4949.513672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,960.804138,-73.346146,5791.491699,-646.703186,902.896423,-5495.210449,-1201.255493,1070.950439,-4885.502441,-642.357056,857.739868,-5518.671387,-2067.710205,1053.243164,-4866.587891,-643.378784,848.460754,-5499.429199,-2090.677979,1035.981445,-4954.541992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,960.797058,-73.354950,5791.494629,-646.826599,903.628540,-5494.406738,-1201.335205,1071.216064,-4883.650391,-643.511230,856.457153,-5516.185547,-2068.504883,1054.219482,-4871.973633,-643.579834,849.009460,-5498.617676,-2093.568359,1040.923950,-4953.389160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,960.804565,-73.351120,5791.508789,-647.015015,904.118286,-5493.610840,-1200.891968,1070.689575,-4881.335449,-644.524109,856.330566,-5514.430664,-2069.281250,1055.232666,-4877.442383,-643.566162,849.444641,-5497.761719,-2094.975586,1041.400024,-4959.102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,960.795654,-73.340172,5791.489746,-647.195618,904.907104,-5492.663086,-1200.707153,1070.384521,-4879.437012,-642.671692,859.737244,-5516.314453,-2070.577393,1057.517456,-4883.708984,-643.893433,850.477478,-5497.147949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,960.774231,-73.365852,5791.502441,-647.195190,905.393860,-5492.080566,-1201.168213,1070.267578,-4877.065430,-643.975220,858.808289,-5514.108887,-2072.281494,1059.268188,-4889.376465,-643.967285,851.244934,-5496.405273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,960.811279,-73.344055,5791.489258,-647.314819,906.185913,-5491.412109,-1201.674438,1070.400024,-4874.543457,-644.682800,858.953613,-5512.592773,-2073.489258,1061.312012,-4895.878418,-643.957153,851.804321,-5495.721680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,960.779724,-73.369728,5791.491699,-647.429810,907.139587,-5490.825684,-1201.431030,1070.173096,-4872.207031,-645.101868,859.849548,-5511.756348,-2074.691162,1062.685181,-4902.605469,-644.245972,852.529968,-5495.181641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
