,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3184,Unlabeled 3184,Unlabeled 3184,Unlabeled 3185,Unlabeled 3185,Unlabeled 3185,Unlabeled 3186,Unlabeled 3186,Unlabeled 3186,Unlabeled 3187,Unlabeled 3187,Unlabeled 3187,Unlabeled 3188,Unlabeled 3188,Unlabeled 3188,Unlabeled 3189,Unlabeled 3189,Unlabeled 3189,Unlabeled 3258,Unlabeled 3258,Unlabeled 3258,Unlabeled 3264,Unlabeled 3264,Unlabeled 3264,Unlabeled 3266,Unlabeled 3266,Unlabeled 3266,Unlabeled 3268,Unlabeled 3268,Unlabeled 3268,Unlabeled 3269,Unlabeled 3269,Unlabeled 3269,Unlabeled 3270,Unlabeled 3270,Unlabeled 3270
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
54,0.450000,960.825073,-73.340569,5791.486816,-2055.491211,843.016541,-5659.550293,-1654.826172,665.381897,-5583.559570,-1599.028320,684.784546,-5410.318359,,,,,,,,,,,,,,,,,,,,,,,,
55,0.458333,960.816772,-73.343445,5791.491699,-2055.932861,843.809692,-5657.004883,-1654.106567,665.197754,-5581.912109,-1599.612061,684.415161,-5408.461914,,,,,,,,,,,,,,,,,,,,,,,,
56,0.466667,960.823181,-73.333786,5791.477539,-2056.376953,845.414490,-5654.360352,-1653.276611,665.283875,-5580.468750,-1599.774536,684.127014,-5406.531738,,,,,,,,,,,,,,,,,,,,,,,,
57,0.475000,960.747131,-73.402649,5791.312500,-2056.001465,846.511719,-5651.976562,-1652.275757,665.331482,-5579.062500,-1599.941406,683.937622,-5404.727051,,,,,,,,,,,,,,,,,,,,,,,,
58,0.483333,960.827759,-73.356903,5791.483398,-2055.999268,847.326965,-5650.430176,-1651.496826,665.196777,-5577.473633,-1600.134277,683.749939,-5402.852051,,,,,,,,,,,,,,,,,,,,,,,,
59,0.491667,960.833984,-73.336166,5791.498535,-2055.594238,848.403931,-5648.488770,-1651.047363,665.105530,-5575.998047,-1600.373779,683.500000,-5401.475098,,,,,,,,,,,,,,,,,,,,,,,,
60,0.500000,960.804626,-73.338173,5791.496094,-2055.638672,849.345520,-5647.097168,-1650.604126,665.248352,-5574.532227,-1600.662354,683.531067,-5399.867676,,,,,,,,,,,,,,,,,,,,,,,,
61,0.508333,960.743286,-73.391418,5791.308594,-2055.802490,850.909668,-5645.678223,-1649.936768,665.337891,-5573.166504,-1600.741943,683.348938,-5398.064453,,,,,,,,,,,,,,,,,,,,,,,,
62,0.516667,960.824951,-73.351906,5791.491699,-2055.944580,851.857910,-5644.235352,-1649.565063,665.380798,-5571.642578,-1601.026611,683.367859,-5396.221680,,,,,,,,,,,,,,,,,,,,,,,,
63,0.525000,960.806030,-73.376747,5791.492188,-2055.506592,852.837646,-5642.759277,-1649.490967,665.673828,-5570.227051,-1601.291504,683.411316,-5394.530273,,,,,,,,,,,,,,,,,,,,,,,,
64,0.533333,960.826355,-73.356827,5791.479980,-2055.557129,853.670288,-5642.054199,-1649.357910,666.130981,-5568.572266,-1601.749512,683.372375,-5393.089355,,,,,,,,,,,,,,,,,,,,,,,,
65,0.541667,960.839905,-73.349068,5791.486816,-2055.694824,855.232117,-5641.335938,-1649.358521,666.731384,-5567.057129,-1601.551025,683.461060,-5391.728516,,,,,,,,,,,,,,,,,,,,,,,,
66,0.550000,960.840576,-73.351173,5791.482422,-2055.706787,856.033325,-5640.675781,-1649.629761,667.484680,-5565.457031,-1601.278687,683.311646,-5390.050781,,,,,,,,,,,,,,,,,,,,,,,,
67,0.558333,960.828613,-73.337402,5791.479004,-2055.317627,856.855103,-5640.130859,-1649.914062,668.540955,-5563.689453,-1601.211426,683.462769,-5388.387207,,,,,,,,,,,,,,,,,,,,,,,,
68,0.566667,960.824707,-73.359337,5791.473145,-2054.835449,857.608459,-5639.773438,-1650.219604,669.350403,-5561.937500,-1601.178711,683.491455,-5386.765625,,,,,,,,,,,,,,,,,,,,,,,,
69,0.575000,960.746338,-73.411865,5791.297363,-2054.843750,858.345459,-5639.683594,-1650.607178,670.121460,-5560.288574,-1600.156128,683.832275,-5385.499512,,,,,,,,,,,,,,,,,,,,,,,,
70,0.583333,960.820679,-73.347595,5791.468750,-2054.589844,859.431702,-5639.516602,-1651.255493,670.999756,-5558.582520,-1599.873535,684.240234,-5384.242188,,,,,,,,,,,,,,,,,,,,,,,,
71,0.591667,960.770447,-73.364731,5791.334473,-2054.935547,860.551697,-5639.470703,-1652.018799,671.906250,-5557.003418,-1599.345215,684.575073,-5383.108887,,,,,,,,,,,,,,,,,,,,,,,,
72,0.600000,960.821228,-73.332306,5791.480469,-2054.909912,861.066345,-5639.491699,-1652.589722,672.665894,-5555.406250,-1598.437134,685.052246,-5381.643066,,,,,,,,,,,,,,,,,,,,,,,,
73,0.608333,960.811890,-73.353607,5791.494629,-2054.720703,861.552368,-5639.714844,-1653.296875,673.398438,-5553.672363,-1597.406250,685.451111,-5380.689453,,,,,,,,,,,,,,,,,,,,,,,,
74,0.616667,960.812744,-73.355217,5791.480469,-2054.260986,862.227173,-5639.973633,-1653.856689,674.257385,-5552.053711,-1596.151001,685.968262,-5379.791016,,,,,,,,,,,,,,,,,,,,,,,,
75,0.625000,960.819641,-73.359039,5791.476074,-2053.945801,862.680847,-5640.325684,-1654.315063,675.239441,-5550.358398,-1595.209717,686.400391,-5378.653809,,,,,,,,,,,,,,,,,,,,,,,,
76,0.633333,960.828796,-73.346397,5791.488770,-2053.490479,863.022949,-5640.758789,-1654.931641,676.241333,-5548.586426,-1593.806641,686.815857,-5377.586426,,,,,,,,,,,,,,,,,,,,,,,,
77,0.641667,960.831421,-73.341209,5791.486328,-2052.766357,863.218567,-5641.835449,-1655.359497,677.174622,-5546.832520,-1591.875977,687.457031,-5376.572266,,,,,,,,,,,,,,,,,,,,,,,,
78,0.650000,960.832764,-73.356537,5791.487793,-2052.037109,863.500610,-5642.740234,-1655.481323,677.923950,-5545.158691,-1590.475098,688.230713,-5375.885254,,,,,,,,,,,,,,,,,,,,,,,,
79,0.658333,960.835754,-73.355553,5791.458496,-2051.197021,864.015869,-5643.471191,-1655.495361,678.521179,-5543.547852,-1588.874146,688.943909,-5375.187500,,,,,,,,,,,,,,,,,,,,,,,,
80,0.666667,960.817932,-73.352249,5791.483398,-2050.442383,864.193176,-5644.179688,-1655.422119,679.124573,-5542.077148,-1587.285767,689.690918,-5374.446289,,,,,,,,,,,,,,,,,,,,,,,,
81,0.675000,960.842651,-73.325844,5791.476074,-2049.622314,864.300171,-5645.585449,-1654.961426,679.583740,-5540.701172,-1585.567017,690.323730,-5373.677246,,,,,,,,,,,,,,,,,,,,,,,,
