Format Version,1.24,Take Name,Take 2025-10-06 09.48.31 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.48.31.906 AM,Capture Start Frame,37805,Total Frames in Take,719,Total Exported Frames,719,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
30,0.250000,960.520264,-73.659752,5791.509277,-425.676086,999.871643,-5246.232910,1475.946289,-521.994324,-6242.135254,-1643.320068,1117.992065,-4569.471680,-436.505157,973.345886,-5248.028320,-2469.231445,1054.389893,-5272.697266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,960.738831,-73.415192,5791.510742,-425.679291,999.846558,-5246.295410,1475.985229,-522.054321,-6242.126465,-1644.721924,1122.969727,-4509.579102,-436.558746,973.350281,-5248.063965,-2463.150635,1062.905518,-5237.797363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,960.181641,-73.997246,5791.365723,-425.728180,999.839722,-5246.331543,1475.979248,-522.036621,-6242.095703,-1646.020142,1125.538818,-4449.358887,-436.501862,973.296021,-5248.185059,-2456.187256,1071.919800,-5196.395508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,960.638733,-73.491707,5791.313477,-425.752991,999.861755,-5246.378418,1475.995239,-522.036804,-6242.082031,-1646.042236,1127.703491,-4389.487793,-436.546814,973.333130,-5248.271973,-2449.705811,1082.315796,-5148.413086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,960.186035,-74.011597,5791.342285,-425.773468,999.857849,-5246.437012,1475.947144,-522.025146,-6242.101562,-1645.202881,1128.390259,-4330.057129,-436.674927,973.412048,-5248.344238,-2446.398682,1095.898560,-5091.654297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,960.171936,-74.024345,5791.262695,-425.747559,999.854187,-5246.496094,1475.931641,-522.007812,-6242.108398,-1643.642456,1127.082764,-4271.035645,-436.380951,973.211426,-5248.680664,-2441.811279,1106.266357,-5037.145508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,960.173462,-74.033272,5791.189941,-425.725433,999.843567,-5246.580078,1475.984619,-521.952515,-6242.104004,-1641.606201,1124.851196,-4212.942383,-436.655914,973.474915,-5248.649902,-2435.836426,1114.793335,-4974.258301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,960.049927,-74.165230,5791.317871,-425.759552,999.837830,-5246.650391,1475.976074,-522.026978,-6242.091309,-1638.103882,1120.902832,-4154.948730,-436.894928,973.597473,-5248.793457,-2427.222656,1120.036011,-4909.520020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,960.195435,-74.056282,5791.243164,-426.511139,999.183655,-5246.856445,1475.959229,-522.090881,-6242.072266,-1633.750000,1116.825562,-4100.356445,-436.931763,973.630371,-5248.937988,-2415.675537,1123.566528,-4842.018555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,960.066711,-74.157364,5791.307129,-426.811371,998.719788,-5246.820801,1475.971191,-522.083313,-6242.060547,-1626.272705,1106.860229,-4041.293213,-437.011536,973.708923,-5249.075195,-2404.352783,1129.170410,-4777.672363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,960.657288,-73.515152,5791.334961,-426.786377,998.372864,-5246.876953,1475.929688,-522.002991,-6242.101074,-1618.142090,1096.992554,-3986.193115,-437.021423,973.711914,-5249.209961,-2394.259277,1135.986572,-4715.432617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,960.506714,-73.674690,5791.524902,-426.912476,998.016785,-5247.103027,1475.924194,-521.907227,-6242.120605,-1609.331055,1086.405518,-3932.162354,-437.075043,973.752747,-5249.370605,-2386.469238,1142.382202,-4653.352051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
